"CÓDIGO DE LA SERIE",DCBTRMEXRAT.T,DCBTRMEXRAT_D091CR.T,DCBTRMEXRAT_D092SR.T,DCBTRMEXRAT_D093.T,DCBTRMEXRAT_D0931.T,DCBTRMEXRAT_D0932.T,DCBTRMEXRAT_D0933.T,DCBTRMEXRAT_D0934.T,DCBTRMEXRAT_D094.T,DCBTRMEXRAT_TS250.T,DCBTRMEXRAT_T50A250.T
"NÚMERO SECUENCIAL",1627282,2412325,2412326,1800923,1800924,1800925,1800926,1800927,1800928,1627298,1627299
"ALIAS DE LA SERIE","BE_15_20.1","BE_15_20.2","BE_15_20.3","BE_15_20.4","BE_15_20.5","BE_15_20.6","BE_15_20.7","BE_15_20.8","BE_15_20.9","BE_15_20.10","BE_15_20.11"
"DESCRIPCIÓN DE LA SERIE","CBT. R.5 Margen de explotación, (REB / INCN). Total","CBT. R.5 Margen de explotación, (REB / INCN). Energía con refino CNAE-09","CBT. R.5 Margen de explotación, (REB / INCN). Industria sin refino CNAE-09","CBT. R.5 Margen de explotación, (REB / INCN). Servicios CNAE-09","CBT. R.5 Margen de explotación, (REB / INCN). Comercio y hostelería CNAE-09","CBT. R.5 Margen de explotación, (REB / INCN). Transporte CNAE-09","CBT. R.5 Margen de explotación, (REB / INCN). Información y comunicaciones CNAE-09","CBT. R.5 Margen de explotación, (REB / INCN). Otros servicios CNAE-09","CBT. R.5 Margen de explotación, (REB / INCN). Actividades con cobertura reducida CNAE-09","CBT. R.5 Margen de explotación, (REB / INCN). Empresas grandes","CBT. R.5 Margen de explotación, (REB / INCN). Empresas medianas"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994",24.80,36.10,51.00,34.10,23.40,15.40,53.70,15.10,4.70,25.50,12.40
"JUN 1994",23.40,31.80,47.20,35.70,15.70,23.80,55.40,13.60,5.60,24.00,12.60
"SEP 1994",25.10,32.10,48.30,37.60,23.50,28.10,55.00,6.50,9.40,25.70,12.00
"DIC 1994",22.60,29.90,44.90,33.50,21.70,17.70,52.40,10.00,8.30,23.30,11.10
"MAR 1995",20.50,40.40,10.70,22.70,7.00,30.70,58.20,20.50,4.80,21.00,10.40
"JUN 1995",19.50,35.90,10.50,24.70,4.80,36.10,59.90,15.50,3.20,20.00,9.40
"SEP 1995",20.80,35.00,11.20,25.80,6.80,41.20,58.80,5.70,4.80,21.30,10.00
"DIC 1995",18.20,35.10,8.00,22.80,6.60,34.80,55.70,10.50,10.50,18.70,8.60
"MAR 1996",19.60,41.90,8.80,22.00,7.60,30.90,50.90,20.90,4.80,20.00,11.90
"JUN 1996",18.40,38.20,8.50,22.40,5.10,34.60,51.70,19.60,5.20,18.80,11.20
"SEP 1996",19.70,37.50,9.00,24.10,6.80,42.00,50.20,12.40,6.10,20.10,11.90
"DIC 1996",16.90,35.90,6.50,20.50,6.20,31.90,46.40,15.20,9.60,17.20,9.50
"MAR 1997",18.10,36.70,8.90,20.60,7.30,30.20,42.50,22.80,5.70,18.50,10.90
"JUN 1997",17.90,33.70,9.80,22.00,5.60,33.90,46.20,17.80,5.80,18.20,10.80
"SEP 1997",19.60,36.20,10.50,23.40,7.20,40.00,46.70,17.10,5.50,19.90,11.30
"DIC 1997",17.60,33.70,9.10,21.10,6.90,32.30,44.10,20.40,5.60,18.00,9.70
"MAR 1998",19.60,40.90,11.10,20.70,7.40,28.70,44.60,29.20,5.30,20.00,12.50
"JUN 1998",18.90,35.70,11.70,21.40,5.80,33.50,44.80,18.90,6.20,19.30,11.90
"SEP 1998",20.40,37.40,11.90,23.10,8.30,38.40,44.40,14.20,6.60,20.90,11.90
"DIC 1998",17.90,34.30,10.00,19.40,7.10,31.60,39.50,8.20,7.10,18.30,10.00
"MAR 1999",19.00,43.80,10.00,19.80,7.70,25.30,40.20,19.10,10.70,19.30,13.00
"JUN 1999",17.90,37.20,10.40,19.90,6.20,28.20,40.10,15.00,9.30,18.20,12.30
"SEP 1999",17.70,34.30,9.90,19.80,7.00,32.20,38.30,14.80,8.80,18.00,12.20
"DIC 1999",15.10,31.90,8.60,16.20,5.40,25.10,35.40,3.10,10.10,15.40,9.40
"MAR 2000",16.80,32.40,10.40,17.10,7.00,22.30,38.40,6.10,8.60,17.10,11.50
"JUN 2000",16.30,30.60,11.40,16.30,4.50,26.80,37.90,0.70,11.50,16.60,12.00
"SEP 2000",16.60,27.60,12.00,16.90,4.80,29.70,37.00,13.30,10.60,16.80,10.40
"DIC 2000",14.70,24.00,11.70,14.30,4.70,20.70,36.50,-20.70,10.20,15.00,8.40
"MAR 2001",16.70,29.80,10.60,17.40,6.70,20.30,41.50,5.90,8.50,16.90,11.70
"JUN 2001",16.70,28.60,10.80,18.10,4.70,28.40,41.90,-0.80,8.60,17.00,11.50
"SEP 2001",17.00,25.70,10.10,19.60,6.40,28.00,42.60,15.50,9.40,17.20,11.00
"DIC 2001",16.70,25.00,10.90,18.00,6.80,24.70,40.60,-1.20,9.90,16.90,10.50
"MAR 2002",16.60,26.30,9.30,17.90,6.70,20.90,40.90,20.10,10.00,16.80,11.40
"JUN 2002",16.80,25.40,10.40,18.70,5.20,25.80,43.40,10.00,11.20,16.90,12.30
"SEP 2002",17.40,25.70,10.30,19.70,6.30,30.10,42.80,11.90,10.20,17.50,12.60
"DIC 2002",16.40,25.00,9.50,18.40,6.40,27.60,41.80,-21.40,11.80,16.70,9.70
"MAR 2003",16.00,27.50,10.20,16.70,6.20,16.60,43.30,24.20,9.00,16.20,10.10
"JUN 2003",16.90,26.50,10.20,18.90,5.60,24.40,44.70,29.00,10.60,17.10,12.00
"SEP 2003",16.90,25.00,9.50,19.40,6.70,25.70,44.00,32.30,10.80,17.10,12.70
"DIC 2003",15.90,24.00,8.70,17.60,6.20,24.10,41.20,13.10,16.20,16.10,9.80
"MAR 2004",16.10,25.70,9.10,18.00,6.80,21.60,42.60,23.40,11.20,16.20,12.50
"JUN 2004",16.10,23.80,10.10,18.20,4.80,27.10,42.90,14.60,13.80,16.20,12.40
"SEP 2004",16.10,22.20,10.00,18.90,5.90,29.00,42.40,25.00,11.90,16.20,12.00
"DIC 2004",15.20,19.80,10.00,17.10,6.00,23.50,39.90,-4.20,16.70,15.30,9.70
"MAR 2005",15.00,19.40,9.50,17.50,6.20,20.20,39.50,22.80,10.00,15.10,9.50
"JUN 2005",14.50,17.30,9.80,17.40,4.80,24.90,39.10,0.90,11.60,14.50,11.00
"SEP 2005",14.70,17.40,9.30,18.30,5.20,27.10,41.80,9.80,11.00,14.90,10.10
"DIC 2005",13.40,16.00,8.70,16.20,5.90,20.00,38.90,-7.40,11.00,13.50,10.20
"MAR 2006",13.30,16.10,8.70,15.60,5.70,19.30,42.90,4.50,9.60,13.40,10.10
"JUN 2006",13.70,16.70,8.60,16.30,4.70,23.80,43.40,1.80,14.40,13.80,10.30
"SEP 2006",14.40,18.30,8.60,17.40,5.60,26.60,45.90,-2.30,11.70,14.50,12.00
"DIC 2006",12.90,15.80,7.60,15.90,5.40,20.60,41.70,-12.60,10.80,12.90,9.90
"MAR 2007",14.50,20.60,8.70,17.00,6.30,22.70,45.30,15.10,10.70,14.60,9.80
"JUN 2007",14.50,19.90,9.70,17.10,4.50,26.80,46.10,9.90,10.70,14.60,11.00
"SEP 2007",14.60,19.10,8.10,18.50,5.20,33.50,46.30,11.30,8.10,14.60,11.30
"DIC 2007",12.70,17.00,6.00,16.10,5.30,26.00,43.90,-4.20,14.20,12.80,9.90
"MAR 2008",14.20,21.20,7.80,16.70,5.90,21.10,41.00,12.70,8.90,14.30,7.40
"JUN 2008",13.70,21.40,7.90,15.80,3.20,22.90,41.70,4.00,10.20,13.80,8.30
"SEP 2008",13.50,19.50,5.80,17.90,4.70,25.60,42.00,8.20,4.20,13.50,9.10
"DIC 2008",10.80,18.60,-1.30,15.40,4.70,18.20,41.00,-9.70,5.00,10.90,4.00
"MAR 2009",13.40,19.30,4.10,15.40,5.40,17.90,38.70,19.00,6.90,13.50,4.50
"JUN 2009",12.80,21.30,3.90,14.30,3.40,20.00,38.90,3.20,7.80,12.90,6.60
"SEP 2009",13.60,19.00,4.00,16.50,5.90,23.70,39.60,9.50,6.50,13.70,10.30
"DIC 2009",11.90,17.30,1.20,14.90,4.80,21.00,39.00,2.00,10.30,12.00,6.60
"MAR 2010",13.20,17.80,4.80,15.40,6.90,20.90,35.50,10.70,6.70,13.30,6.20
"JUN 2010",13.10,17.00,6.90,15.00,4.60,26.20,35.00,10.30,6.90,13.10,10.10
"SEP 2010",13.10,17.00,5.10,15.90,5.20,27.90,36.80,9.50,6.50,13.20,10.30
"DIC 2010",11.20,14.40,4.80,14.10,5.40,24.30,34.70,-17.80,0.40,11.30,7.10
"MAR 2011",11.80,15.10,5.50,14.40,6.30,20.40,30.60,16.20,5.80,11.90,5.40
"JUN 2011",10.80,12.80,4.50,14.10,3.80,26.10,32.70,2.80,7.60,10.80,7.90
