"CÓDIGO DE LA SERIE",DCBTRORPRCT.T,DCBTRORPRCT_D091CR.T,DCBTRORPRCT_D092SR.T,DCBTRORPRCT_D093.T,DCBTRORPRCT_D0931.T,DCBTRORPRCT_D0932.T,DCBTRORPRCT_D0933.T,DCBTRORPRCT_D0934.T,DCBTRORPRCT_D094.T,DCBTRORPRCT_TS250.T,DCBTRORPRCT_T50A250.T
"NÚMERO SECUENCIAL",745627,2412319,2412320,1800965,1800966,1800967,1800968,1800969,1800970,745632,745633
"ALIAS DE LA SERIE","BE_15_15.1","BE_15_15.2","BE_15_15.3","BE_15_15.4","BE_15_15.5","BE_15_15.6","BE_15_15.7","BE_15_15.8","BE_15_15.9","BE_15_15.10","BE_15_15.11"
"DESCRIPCIÓN DE LA SERIE","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Total. Datos acumulados","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Energía con refino CNAE-09. Datos acumulados","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Industria sin refino CNAE-09. Datos acumulados","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Servicios CNAE-09. Datos acumulados","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Comercio y hostelería CNAE-09. Datos acumulados","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Transporte CNAE-09. Datos acumulados","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Información y comunicaciones CNAE-09. Datos acumulados","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Otros servicios CNAE-09. Datos acumulados","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Actividades con cobertura reducida CNAE-09. Datos acumulados","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Empresas grandes. Datos acumulados","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Empresas medianas. Datos acumulados"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994",6.40,"_","_",5.90,12.00,-1.50,8.10,9.50,-1.70,6.40,6.00
"JUN 1994",6.40,"_","_",6.80,8.50,1.30,9.80,10.40,-0.40,6.40,6.70
"SEP 1994",6.60,"_","_",7.70,9.10,3.90,10.00,7.70,0.20,6.60,6.60
"DIC 1994",6.60,"_","_",7.60,8.60,3.20,10.20,8.20,0.90,6.70,5.70
"MAR 1995",8.60,"_","_",5.70,14.90,-1.00,9.80,6.60,4.60,8.50,10.30
"JUN 1995",8.00,"_","_",6.30,10.60,0.80,11.40,7.80,3.70,8.00,9.40
"SEP 1995",8.10,"_","_",7.10,10.90,2.40,11.70,7.60,4.90,8.10,9.20
"DIC 1995",7.90,"_","_",7.30,11.30,1.90,12.20,9.50,6.80,7.90,8.70
"MAR 1996",8.00,"_","_",5.60,12.60,-0.40,11.60,3.40,5.20,7.90,9.80
"JUN 1996",7.90,"_","_",6.60,9.20,0.90,13.10,6.90,5.90,7.80,9.70
"SEP 1996",8.50,"_","_",7.80,9.40,2.60,14.10,8.70,5.80,8.50,9.60
"DIC 1996",8.30,"_","_",7.90,9.90,2.30,14.40,9.50,7.80,8.20,9.70
"MAR 1997",7.30,8.00,8.60,6.10,11.40,0.20,11.80,5.10,5.70,7.20,8.70
"JUN 1997",8.00,7.40,10.90,7.20,8.60,1.60,14.70,7.20,7.70,7.90,9.60
"SEP 1997",8.70,7.80,11.80,8.20,9.40,3.00,15.20,8.70,7.70,8.70,9.50
"DIC 1997",9.00,7.70,11.90,8.80,10.10,2.80,15.70,11.70,7.70,9.00,9.20
"MAR 1998",9.60,9.60,14.10,7.70,12.00,1.00,17.20,3.30,6.60,9.50,13.10
"JUN 1998",9.80,8.40,15.20,8.70,10.10,2.80,17.60,6.10,7.80,9.70,13.50
"SEP 1998",10.20,8.50,15.10,9.50,11.90,4.30,17.20,5.00,8.30,10.20,12.50
"DIC 1998",10.70,9.10,14.50,10.30,12.30,4.00,17.90,10.00,9.30,10.60,11.60
"MAR 1999",9.40,10.90,12.50,7.30,14.10,2.10,10.40,6.00,8.20,9.30,14.90
"JUN 1999",9.80,9.30,14.00,8.50,12.60,3.20,12.90,7.70,8.80,9.60,14.70
"SEP 1999",10.10,9.80,14.10,8.80,13.50,4.20,13.30,5.80,8.10,9.90,14.00
"DIC 1999",10.20,9.80,13.70,9.00,12.80,4.20,13.20,8.10,10.20,10.10,12.70
"MAR 2000",8.40,9.30,14.80,5.30,12.80,2.10,23.10,-0.90,10.20,8.20,10.30
"JUN 2000",9.30,8.60,17.20,6.80,10.50,3.70,24.20,2.00,13.00,9.20,10.30
"SEP 2000",10.00,8.50,18.00,8.10,10.50,4.90,23.70,4.70,12.50,10.00,8.80
"DIC 2000",10.50,9.20,19.00,8.40,10.60,4.50,22.10,6.00,16.40,10.60,7.10
"MAR 2001",7.10,8.70,12.90,4.50,14.20,1.20,36.20,-1.00,15.70,7.00,11.40
"JUN 2001",8.40,9.00,14.60,6.10,12.00,3.40,36.30,1.60,16.40,8.20,11.30
"SEP 2001",8.70,9.00,13.60,6.90,13.10,4.70,37.30,2.10,17.10,8.60,10.70
"DIC 2001",10.70,11.70,13.60,9.00,13.80,4.60,36.50,5.70,19.50,10.60,10.10
"MAR 2002",7.10,11.60,8.80,4.40,14.50,2.30,38.20,-1.20,15.50,6.90,9.90
"JUN 2002",9.60,11.60,11.30,7.90,12.60,4.30,49.50,3.40,17.80,9.50,11.10
"SEP 2002",10.60,11.70,11.50,9.60,13.50,6.00,58.60,5.00,17.30,10.60,11.00
"DIC 2002",12.90,15.20,12.10,11.90,13.90,6.70,64.70,8.20,17.80,12.90,10.10
"MAR 2003",7.40,9.80,10.80,5.20,12.80,1.10,87.10,-0.80,13.00,7.30,7.20
"JUN 2003",9.80,9.60,12.10,9.10,12.20,3.80,90.90,4.00,15.70,9.80,9.10
"SEP 2003",10.60,10.00,12.20,10.10,13.20,5.30,87.50,4.80,16.40,10.60,9.70
"DIC 2003",12.10,11.60,12.50,11.90,13.10,5.70,85.60,7.40,19.70,12.20,9.40
"MAR 2004",8.10,11.20,9.30,6.30,13.20,3.10,71.90,-0.50,15.20,7.90,9.90
"JUN 2004",9.90,10.00,12.80,8.80,10.50,4.60,74.00,3.40,19.20,9.80,10.10
"SEP 2004",10.40,9.70,13.70,9.40,10.90,5.70,72.10,4.00,18.00,10.30,9.60
"DIC 2004",12.00,10.50,15.20,11.30,11.20,5.50,69.50,7.20,21.30,12.00,9.30
