"CÓDIGO DE LA SERIE",DCBTRMEXRCT.T,DCBTRMEXRCT_D091CR.T,DCBTRMEXRCT_D092SR.T,DCBTRMEXRCT_D093.T,DCBTRMEXRCT_D0931.T,DCBTRMEXRCT_D0932.T,DCBTRMEXRCT_D0933.T,DCBTRMEXRCT_D0934.T,DCBTRMEXRCT_D094.T,DCBTRMEXRCT_TS250.T,DCBTRMEXRCT_T50A250.T
"NÚMERO SECUENCIAL",745657,2412327,2412328,1800931,1800932,1800933,1800934,1800935,1800936,745662,745663
"ALIAS DE LA SERIE","BE_15_21.1","BE_15_21.2","BE_15_21.3","BE_15_21.4","BE_15_21.5","BE_15_21.6","BE_15_21.7","BE_15_21.8","BE_15_21.9","BE_15_21.10","BE_15_21.11"
"DESCRIPCIÓN DE LA SERIE","CBT. R.5 Margen de explotación, (REB / INCN). Total. Datos acumulados","CBT. R.5 Margen de explotación, (REB / INCN). Energía con refino CNAE-09. Datos acumulados","CBT. R.5 Margen de explotación, (REB / INCN). Industria sin refino CNAE-09. Datos acumulados","CBT. R.5 Margen de explotación, (REB / INCN). Servicios CNAE-09. Datos acumulados","CBT. R.5 Margen de explotación, (REB / INCN). Comercio y hostelería CNAE-09. Datos acumulados","CBT. R.5 Margen de explotación, (REB / INCN). Transporte CNAE-09. Datos acumulados","CBT. R.5 Margen de explotación, (REB / INCN). Información y comunicaciones CNAE-09. Datos acumulados","CBT. R.5 Margen de explotación, (REB / INCN). Otros servicios CNAE-09. Datos acumulados","CBT. R.5 Margen de explotación, (REB / INCN). Actividades con cobertura reducida CNAE-09. Datos acumulados","CBT. R.5 Margen de explotación, (REB / INCN). Empresas grandes. Datos acumulados","CBT. R.5 Margen de explotación, (REB / INCN). Empresas medianas. Datos acumulados"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994",24.80,36.10,51.00,34.10,23.40,15.40,53.70,15.10,4.70,25.50,12.40
"JUN 1994",24.10,34.00,49.20,34.90,19.70,19.70,54.60,14.30,5.20,24.70,12.50
"SEP 1994",24.40,33.30,48.90,35.80,21.00,22.90,54.70,12.10,6.70,25.10,12.30
"DIC 1994",23.90,32.50,47.90,35.30,21.20,21.60,54.10,11.60,7.10,24.60,12.00
"MAR 1995",20.50,40.40,10.70,22.70,7.00,30.70,58.20,20.50,4.80,21.00,10.40
"JUN 1995",20.00,38.30,10.60,23.70,6.00,33.60,59.10,17.80,3.90,20.50,9.90
"SEP 1995",20.20,37.20,10.80,24.40,6.30,36.40,59.00,14.10,4.20,20.80,9.90
"DIC 1995",19.70,36.70,10.10,24.00,6.40,36.00,58.10,13.00,5.70,20.20,9.60
"MAR 1996",19.60,41.90,8.80,22.00,7.60,30.90,50.90,20.90,4.80,20.00,11.90
"JUN 1996",19.00,40.10,8.70,22.20,6.40,32.90,51.30,20.20,5.00,19.40,11.60
"SEP 1996",19.30,39.20,8.80,22.80,6.50,36.30,50.90,17.80,5.40,19.60,11.70
"DIC 1996",18.60,38.40,8.20,22.20,6.40,35.20,49.70,17.10,6.60,19.00,11.10
"MAR 1997",18.10,36.70,8.90,20.60,7.30,30.20,42.50,22.80,5.70,18.50,10.90
"JUN 1997",18.00,35.30,9.40,21.30,6.40,32.20,44.40,20.10,5.70,18.30,10.80
"SEP 1997",18.50,35.60,9.80,22.00,6.70,35.10,45.20,19.20,5.70,18.90,11.00
"DIC 1997",18.30,35.10,9.60,21.80,6.80,34.40,44.90,19.60,5.60,18.60,10.70
"MAR 1998",19.60,40.90,11.10,20.70,7.40,28.70,44.60,29.20,5.30,20.00,12.50
"JUN 1998",19.30,38.50,11.40,21.00,6.60,31.30,44.70,23.20,5.80,19.70,12.20
"SEP 1998",19.60,38.10,11.60,21.80,7.20,33.90,44.60,20.50,6.00,20.10,12.10
"DIC 1998",19.20,37.10,11.20,21.10,7.20,33.40,43.30,17.00,6.30,19.60,11.50
"MAR 1999",19.00,43.80,10.00,19.80,7.70,25.30,40.20,19.10,10.70,19.30,13.00
"JUN 1999",18.40,40.60,10.20,19.90,7.00,26.80,40.10,17.00,9.90,18.80,12.70
"SEP 1999",18.20,38.30,10.10,19.90,7.00,28.60,39.50,16.40,9.60,18.50,12.50
"DIC 1999",17.40,36.50,9.70,18.90,6.60,27.70,38.50,13.10,9.70,17.70,11.70
"MAR 2000",16.80,32.40,10.40,17.10,7.00,22.30,38.40,6.10,8.60,17.10,11.50
"JUN 2000",16.60,31.60,10.90,16.70,5.70,24.60,38.10,3.40,10.00,16.80,11.70
"SEP 2000",16.60,30.20,11.20,16.80,5.40,26.40,37.80,5.80,10.20,16.80,11.30
"DIC 2000",16.10,28.60,11.40,16.10,5.20,24.80,37.40,1.10,10.20,16.40,10.60
"MAR 2001",16.70,29.80,10.60,17.40,6.70,20.30,41.50,5.90,8.50,16.90,11.70
"JUN 2001",16.70,29.20,10.70,17.70,5.70,24.40,41.70,2.60,8.60,16.90,11.60
"SEP 2001",16.80,28.00,10.50,18.40,6.00,25.70,42.00,6.80,8.90,17.00,11.40
"DIC 2001",16.80,27.20,10.60,18.30,6.20,25.40,41.70,4.80,9.20,17.00,11.20
"MAR 2002",16.60,26.30,9.30,17.90,6.70,20.90,40.90,20.10,10.00,16.80,11.40
"JUN 2002",16.70,25.90,9.90,18.30,6.00,23.40,42.20,14.90,10.70,16.90,11.80
"SEP 2002",16.90,25.80,10.00,18.70,6.10,25.70,42.40,13.90,10.50,17.10,12.10
"DIC 2002",16.80,25.60,9.90,18.60,6.20,26.20,42.20,6.30,10.80,17.00,11.50
"MAR 2003",16.00,27.50,10.20,16.70,6.20,16.60,43.30,24.20,9.00,16.20,10.10
